Land,Year,Series,Value
Burundi,2017,Land area (thousand hectares),2568
Burundi,2017,Arable land (thousand hectares),1200
Burundi,2017,Permanent crops (thousand hectares),350
Burundi,2017,Forest cover (thousand hectares),276
Burundi,2017,Arable land (% of total land area),46.729
Burundi,2017,Permanent crops (% of total land area),13.6293
Burundi,2017,Forest cover (% of total land area),10.7477
Burundi,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8318
Burundi,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),56.8318
Cabo Verde,2005,Land area (thousand hectares),403
Cabo Verde,2005,Arable land (thousand hectares),48
Cabo Verde,2005,Permanent crops (thousand hectares),2
Cabo Verde,2005,Forest cover (thousand hectares),83.59
Cabo Verde,2005,Arable land (% of total land area),11.9107
Cabo Verde,2005,Permanent crops (% of total land area),0.4963
Cabo Verde,2005,Forest cover (% of total land area),20.7419
Cabo Verde,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),9.4179
Cabo Verde,2010,Land area (thousand hectares),403
Cabo Verde,2010,Arable land (thousand hectares),50
Cabo Verde,2010,Permanent crops (thousand hectares),3
Cabo Verde,2010,Forest cover (thousand hectares),85.09
Cabo Verde,2010,Arable land (% of total land area),12.4069
Cabo Verde,2010,Permanent crops (% of total land area),0.7444
Cabo Verde,2010,Forest cover (% of total land area),21.1141
Cabo Verde,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),9.4179
Cabo Verde,2017,Land area (thousand hectares),403
Cabo Verde,2017,Arable land (thousand hectares),50
Cabo Verde,2017,Permanent crops (thousand hectares),4
Cabo Verde,2017,Forest cover (thousand hectares),89.903
Cabo Verde,2017,Arable land (% of total land area),12.4069
Cabo Verde,2017,Permanent crops (% of total land area),0.9926
Cabo Verde,2017,Forest cover (% of total land area),22.3084
Cabo Verde,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),12.0279
Cabo Verde,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),12.0279
Cambodia,2005,Land area (thousand hectares),17652
Cambodia,2005,Arable land (thousand hectares),3700
Cambodia,2005,Permanent crops (thousand hectares),156
Cambodia,2005,Forest cover (thousand hectares),10731
Cambodia,2005,Arable land (% of total land area),20.9608
Cambodia,2005,Permanent crops (% of total land area),0.8838
Cambodia,2005,Forest cover (% of total land area),60.792
Cambodia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),38.1225
Cambodia,2010,Land area (thousand hectares),17652
Cambodia,2010,Arable land (thousand hectares),3800
Cambodia,2010,Permanent crops (thousand hectares),155
Cambodia,2010,Forest cover (thousand hectares),10094
Cambodia,2010,Arable land (% of total land area),21.5273
Cambodia,2010,Permanent crops (% of total land area),0.8781
Cambodia,2010,Forest cover (% of total land area),57.1833
Cambodia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.5392
Cambodia,2017,Land area (thousand hectares),17652
Cambodia,2017,Arable land (thousand hectares),3911
Cambodia,2017,Permanent crops (thousand hectares),155
Cambodia,2017,Forest cover (thousand hectares),9457
Cambodia,2017,Arable land (% of total land area),22.1561
Cambodia,2017,Permanent crops (% of total land area),0.8781
Cambodia,2017,Forest cover (% of total land area),53.5747
Cambodia,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),39.5413
Cambodia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),39.5413
Cameroon,2005,Land area (thousand hectares),47271
Cameroon,2005,Arable land (thousand hectares),5963
Cameroon,2005,Permanent crops (thousand hectares),1250
Cameroon,2005,Forest cover (thousand hectares),21016
Cameroon,2005,Arable land (% of total land area),12.6145
Cameroon,2005,Permanent crops (% of total land area),2.6443
Cameroon,2005,Forest cover (% of total land area),44.4585
Cameroon,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),20.0957
Cameroon,2010,Land area (thousand hectares),47271
Cameroon,2010,Arable land (thousand hectares),6200
Cameroon,2010,Permanent crops (thousand hectares),1500
Cameroon,2010,Forest cover (thousand hectares),19916
Cameroon,2010,Arable land (% of total land area),13.1159
Cameroon,2010,Permanent crops (% of total land area),3.1732
Cameroon,2010,Forest cover (% of total land area),42.1315
Cameroon,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),24.6855
Cameroon,2017,Land area (thousand hectares),47271
Cameroon,2017,Arable land (thousand hectares),6200
Cameroon,2017,Permanent crops (thousand hectares),1550
Cameroon,2017,Forest cover (thousand hectares),18816
Cameroon,2017,Arable land (% of total land area),13.1159
Cameroon,2017,Permanent crops (% of total land area),3.279
Cameroon,2017,Forest cover (% of total land area),39.8045
Cameroon,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),35.3261
Cameroon,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),35.3261
Canada,2005,Land area (thousand hectares),896559
Canada,2005,Arable land (thousand hectares),39616
Canada,2005,Permanent crops (thousand hectares),165
Canada,2005,Forest cover (thousand hectares),347576
Canada,2005,Arable land (% of total land area),4.4187
Canada,2005,Permanent crops (% of total land area),0.0184
Canada,2005,Forest cover (% of total land area),38.7678
Canada,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),21.5081
Canada,2010,Land area (thousand hectares),896559
Canada,2010,Arable land (thousand hectares),37687
Canada,2010,Permanent crops (thousand hectares),177
Canada,2010,Forest cover (thousand hectares),347302
Canada,2010,Arable land (% of total land area),4.2035
Canada,2010,Permanent crops (% of total land area),0.0197
Canada,2010,Forest cover (% of total land area),38.7372
Canada,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),26.0162
Canada,2017,Land area (thousand hectares),896559
Canada,2017,Arable land (thousand hectares),38178.1
Canada,2017,Permanent crops (thousand hectares),174.3
Canada,2017,Forest cover (thousand hectares),347069
Canada,2017,Arable land (% of total land area),4.2583
Canada,2017,Permanent crops (% of total land area),0.0194
Canada,2017,Forest cover (% of total land area),38.7112
Canada,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),28.1382
Canada,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),28.1382
Cayman Islands,2005,Land area (thousand hectares),24
Cayman Islands,2005,Arable land (thousand hectares),0.2
Cayman Islands,2005,Permanent crops (thousand hectares),0.5
Cayman Islands,2005,Forest cover (thousand hectares),12.7
Cayman Islands,2005,Arable land (% of total land area),0.8333
Cayman Islands,2005,Permanent crops (% of total land area),2.0833
Cayman Islands,2005,Forest cover (% of total land area),52.9167
Cayman Islands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.6203
Cayman Islands,2010,Land area (thousand hectares),24
Cayman Islands,2010,Arable land (thousand hectares),0.2
Cayman Islands,2010,Permanent crops (thousand hectares),0.5
Cayman Islands,2010,Forest cover (thousand hectares),12.7
Cayman Islands,2010,Arable land (% of total land area),0.8333
Cayman Islands,2010,Permanent crops (% of total land area),2.0833
Cayman Islands,2010,Forest cover (% of total land area),52.9167
Cayman Islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.6578
Cayman Islands,2017,Land area (thousand hectares),24
Cayman Islands,2017,Arable land (thousand hectares),0.2
Cayman Islands,2017,Permanent crops (thousand hectares),0.5
Cayman Islands,2017,Forest cover (thousand hectares),12.7
Cayman Islands,2017,Arable land (% of total land area),0.8333
Cayman Islands,2017,Permanent crops (% of total land area),2.0833
Cayman Islands,2017,Forest cover (% of total land area),52.9167
Cayman Islands,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),32.4926
Cayman Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),32.4926
Central African Republic,2005,Land area (thousand hectares),62298
Central African Republic,2005,Arable land (thousand hectares),1930
Central African Republic,2005,Permanent crops (thousand hectares),85
Central African Republic,2005,Forest cover (thousand hectares),22326
Central African Republic,2005,Arable land (% of total land area),3.098
Central African Republic,2005,Permanent crops (% of total land area),0.1364
Central African Republic,2005,Forest cover (% of total land area),35.8374
Central African Republic,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),74.237
Central African Republic,2010,Land area (thousand hectares),62298
Central African Republic,2010,Arable land (thousand hectares),1800
Central African Republic,2010,Permanent crops (thousand hectares),80
Central African Republic,2010,Forest cover (thousand hectares),22248
Central African Republic,2010,Arable land (% of total land area),2.8893
Central African Republic,2010,Permanent crops (% of total land area),0.1284
Central African Republic,2010,Forest cover (% of total land area),35.7122
Central African Republic,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),74.237
Central African Republic,2017,Land area (thousand hectares),62298
Central African Republic,2017,Arable land (thousand hectares),1800
Central African Republic,2017,Permanent crops (thousand hectares),80
Central African Republic,2017,Forest cover (thousand hectares),22170
Central African Republic,2017,Arable land (% of total land area),2.8893
Central African Republic,2017,Permanent crops (% of total land area),0.1284
Central African Republic,2017,Forest cover (% of total land area),35.587
Central African Republic,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),74.237
Central African Republic,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),74.237
Chad,2005,Land area (thousand hectares),125920
Chad,2005,Arable land (thousand hectares),3900
Chad,2005,Permanent crops (thousand hectares),30
Chad,2005,Forest cover (thousand hectares),6141
Chad,2005,Arable land (% of total land area),3.0972
Chad,2005,Permanent crops (% of total land area),0.0238
Chad,2005,Forest cover (% of total land area),4.8769
Chad,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),67.3127
Chad,2010,Land area (thousand hectares),125920
Chad,2010,Arable land (thousand hectares),4200
Chad,2010,Permanent crops (thousand hectares),35
Chad,2010,Forest cover (thousand hectares),5508
Chad,2010,Arable land (% of total land area),3.3355
Chad,2010,Permanent crops (% of total land area),0.0278
Chad,2010,Forest cover (% of total land area),4.3742
Chad,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),67.3127
Chad,2017,Land area (thousand hectares),125920
Chad,2017,Arable land (thousand hectares),5200
Chad,2017,Permanent crops (thousand hectares),38
Chad,2017,Forest cover (thousand hectares),4875
Chad,2017,Arable land (% of total land area),4.1296
Chad,2017,Permanent crops (% of total land area),0.0302
Chad,2017,Forest cover (% of total land area),3.8715
Chad,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),67.3127
Chad,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),67.3127
Channel Islands,2005,Land area (thousand hectares),19.8
Channel Islands,2005,Arable land (thousand hectares),3.8
Channel Islands,2005,Forest cover (thousand hectares),0.8
Channel Islands,2005,Arable land (% of total land area),19.1919
Channel Islands,2005,Forest cover (% of total land area),4.0404
Channel Islands,2010,Land area (thousand hectares),19.8
Channel Islands,2010,Arable land (thousand hectares),4.31
Channel Islands,2010,Forest cover (thousand hectares),0.8
Channel Islands,2010,Arable land (% of total land area),21.7677
Channel Islands,2010,Forest cover (% of total land area),4.0404
Channel Islands,2017,Land area (thousand hectares),19.8
Channel Islands,2017,Arable land (thousand hectares),3.82
Channel Islands,2017,Forest cover (thousand hectares),0.8
Channel Islands,2017,Arable land (% of total land area),19.2929
Channel Islands,2017,Forest cover (% of total land area),4.0404
